--------- beginning of main
07-15 00:24:03.006 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:24:18.932 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:24:34.761 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:24:50.634 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 11 lines
07-15 00:25:08.067 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:25:23.612 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:25:39.305 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:25:55.123 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:26:11.045 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:26:26.954 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 11 lines
07-15 00:26:44.312 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 8 lines
07-15 00:27:58.896 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201745(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 168us total 211.959ms
07-15 00:28:00.486 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201776(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 146us total 203.328ms
07-15 00:28:02.061 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198254(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 185us total 212.200ms
07-15 00:28:03.636 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199762(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 181us total 212.754ms
07-15 00:28:05.214 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199444(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 188us total 204.577ms
07-15 00:28:06.812 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199942(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 146us total 209.570ms
07-15 00:28:08.381 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198821(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 180us total 212.234ms
07-15 00:28:09.970 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200738(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 175us total 206.603ms
07-15 00:28:11.545 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199425(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 198us total 210.577ms
07-15 00:28:13.136 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198865(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 147us total 213.118ms
07-15 00:28:14.734 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202785(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 144us total 212.973ms
07-15 00:28:16.335 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201945(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 172us total 213.312ms
07-15 00:28:17.911 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201190(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 175us total 211.750ms
