--------- beginning of main
07-21 20:03:48.029 15386 15386 I chatty  : uid=10247(com.smartvision.svplayer) expire 1 line
07-21 20:03:48.306 15386 15393 I chatty  : uid=10247(com.smartvision.svplayer) Jit thread pool expire 3 lines
07-21 20:03:48.416 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 1 line
07-21 20:03:48.778 15386 15393 I chatty  : uid=10247(com.smartvision.svplayer) Jit thread pool expire 1 line
07-21 20:03:49.127 15386 15386 I chatty  : uid=10247(com.smartvision.svplayer) expire 1 line
07-21 20:03:49.814 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 1 line
07-21 20:03:50.009 15386 15393 I chatty  : uid=10247(com.smartvision.svplayer) Jit thread pool expire 2 lines
07-21 20:03:51.022 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-21 20:04:07.268 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 11 lines
07-21 20:04:26.174 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 6 lines
07-21 20:04:33.928 15386 15386 I chatty  : uid=10247(com.smartvision.svplayer) expire 1 line
07-21 20:04:34.278 15386 15393 I chatty  : uid=10247(com.smartvision.svplayer) Jit thread pool expire 4 lines
07-21 20:04:35.392 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 4 lines
07-21 20:04:36.221 15386 15386 I chatty  : uid=10247(com.smartvision.svplayer) expire 1 line
07-21 20:04:37.844 15386 15393 I chatty  : uid=10247(com.smartvision.svplayer) Jit thread pool expire 2 lines
07-21 20:04:38.319 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-21 20:04:54.224 15386 15403 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 3 lines
07-21 20:05:52.886 15386 15403 I vision.svplaye: Background concurrent copying GC freed 212933(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 150us total 274.290ms
07-21 20:05:54.517 15386 15403 I vision.svplaye: Background concurrent copying GC freed 210355(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 190us total 257.169ms
07-21 20:05:56.148 15386 15403 I vision.svplaye: Background concurrent copying GC freed 209186(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 165us total 255.763ms
07-21 20:05:57.777 15386 15403 I vision.svplaye: Background concurrent copying GC freed 207233(6MB) AllocSpace objects, 0(0B) LOS objects, 19% free, 24MB/30MB, paused 166us total 263.917ms
07-21 20:05:59.429 15386 15403 I vision.svplaye: Background concurrent copying GC freed 209969(6MB) AllocSpace objects, 0(0B) LOS objects, 19% free, 24MB/30MB, paused 156us total 267.189ms
07-21 20:06:01.085 15386 15403 I vision.svplaye: Background concurrent copying GC freed 212104(6MB) AllocSpace objects, 0(0B) LOS objects, 19% free, 24MB/30MB, paused 185us total 268.894ms
07-21 20:06:02.735 15386 15403 I vision.svplaye: Background concurrent copying GC freed 211693(6MB) AllocSpace objects, 0(0B) LOS objects, 19% free, 24MB/30MB, paused 165us total 266.304ms
07-21 20:06:04.375 15386 15403 I vision.svplaye: Background concurrent copying GC freed 210470(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 166us total 255.199ms
07-21 20:06:06.004 15386 15403 I vision.svplaye: Background concurrent copying GC freed 208657(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 182us total 254.715ms
07-21 20:06:07.644 15386 15403 I vision.svplaye: Background concurrent copying GC freed 207891(6MB) AllocSpace objects, 0(0B) LOS objects, 20% free, 23MB/29MB, paused 179us total 269.512ms
