07-21 20:00:07.809 15386 15403 I vision.svplaye: Background concurrent copying GC freed 197194(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 171us total 134.596ms
07-21 20:00:08.834 15386 15403 I vision.svplaye: Background concurrent copying GC freed 196667(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 167us total 128.638ms
07-21 20:00:09.856 15386 15403 I vision.svplaye: Background concurrent copying GC freed 195986(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 172us total 133.846ms
07-21 20:00:10.880 15386 15403 I vision.svplaye: Background concurrent copying GC freed 198828(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 149us total 130.641ms
07-21 20:00:11.934 15386 15403 I vision.svplaye: Background concurrent copying GC freed 196036(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 204us total 130.628ms
07-21 20:00:12.973 15386 15403 I vision.svplaye: Background concurrent copying GC freed 197127(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 171us total 131.108ms
07-21 20:00:14.071 15386 15403 I vision.svplaye: Background concurrent copying GC freed 193668(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 149us total 129.133ms
07-21 20:00:15.083 15386 15403 I vision.svplaye: Background concurrent copying GC freed 190507(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 727us total 127.927ms
07-21 20:00:16.238 15386 15403 I vision.svplaye: Background concurrent copying GC freed 192893(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 143us total 136.112ms
07-21 20:00:17.282 15386 15403 I vision.svplaye: Background concurrent copying GC freed 191794(6MB) AllocSpace objects, 1(20KB) LOS objects, 39% free, 9MB/15MB, paused 217us total 125.756ms
07-21 20:00:18.329 15386 15403 I vision.svplaye: Background concurrent copying GC freed 192800(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 152us total 126.173ms
07-21 20:00:19.375 15386 15403 I vision.svplaye: Background concurrent copying GC freed 192989(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 173us total 127.397ms
07-21 20:00:20.407 15386 15403 I vision.svplaye: Background concurrent copying GC freed 192750(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 127us total 124.974ms
07-21 20:00:21.443 15386 15403 I vision.svplaye: Background concurrent copying GC freed 193501(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 146us total 125.098ms
07-21 20:00:22.487 15386 15403 I vision.svplaye: Background concurrent copying GC freed 193185(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 163us total 125.299ms
07-21 20:00:23.521 15386 15403 I vision.svplaye: Background concurrent copying GC freed 193303(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 363us total 125.298ms
07-21 20:00:24.551 15386 15403 I vision.svplaye: Background concurrent copying GC freed 192693(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 143us total 131.998ms
07-21 20:00:25.585 15386 15403 I vision.svplaye: Background concurrent copying GC freed 194089(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 145us total 131.047ms
07-21 20:00:26.634 15386 15403 I vision.svplaye: Background concurrent copying GC freed 194375(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 142us total 130.895ms
07-21 20:00:27.680 15386 15403 I vision.svplaye: Background concurrent copying GC freed 194022(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 149us total 130.492ms
07-21 20:00:28.721 15386 15403 I vision.svplaye: Background concurrent copying GC freed 193136(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 148us total 127.291ms
07-21 20:00:29.764 15386 15403 I vision.svplaye: Background concurrent copying GC freed 193935(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 156us total 131.995ms
07-21 20:00:30.810 15386 15403 I vision.svplaye: Background concurrent copying GC freed 193875(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 210us total 134.542ms
07-21 20:00:31.841 15386 15403 I vision.svplaye: Background concurrent copying GC freed 194332(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 199us total 130.828ms
07-21 20:00:32.885 15386 15403 I vision.svplaye: Background concurrent copying GC freed 193676(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 132us total 130.117ms
07-21 20:00:33.935 15386 15403 I vision.svplaye: Background concurrent copying GC freed 193866(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 248us total 129.650ms
07-21 20:00:34.989 15386 15403 I vision.svplaye: Background concurrent copying GC freed 194255(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 176us total 131.658ms
07-21 20:00:36.026 15386 15403 I vision.svplaye: Background concurrent copying GC freed 194821(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 147us total 127.398ms
07-21 20:00:37.056 15386 15403 I vision.svplaye: Background concurrent copying GC freed 194704(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 145us total 125.994ms
07-21 20:00:38.083 15386 15403 I vision.svplaye: Background concurrent copying GC freed 192589(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 135us total 128.292ms
07-21 20:00:39.124 15386 15403 I vision.svplaye: Background concurrent copying GC freed 193839(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 143us total 124.881ms
07-21 20:00:40.166 15386 15403 I vision.svplaye: Background concurrent copying GC freed 194027(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 134us total 124.945ms
07-21 20:00:41.206 15386 15403 I vision.svplaye: Background concurrent copying GC freed 192936(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 142us total 125.961ms
07-21 20:00:42.280 15386 15403 I vision.svplaye: Background concurrent copying GC freed 193876(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 208us total 131.443ms
07-21 20:00:43.634 15386 15403 I vision.svplaye: NativeAlloc concurrent copying GC freed 153894(4MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 154us total 148.193ms
07-21 20:00:45.734 15386 15403 I vision.svplaye: Background concurrent copying GC freed 185373(5MB) AllocSpace objects, 0(0B) LOS objects, 40% free, 8MB/14MB, paused 795us total 150.345ms
07-21 20:00:47.630 15386 15403 I vision.svplaye: Background concurrent copying GC freed 192113(6MB) AllocSpace objects, 0(0B) LOS objects, 39% free, 9MB/15MB, paused 162us total 137.915ms
