--------- beginning of main
07-15 01:05:54.502 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205178(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 238us total 252.320ms
07-15 01:05:56.870 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206862(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 178us total 237.312ms
07-15 01:05:59.221 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204326(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 160us total 239.141ms
07-15 01:06:01.592 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204299(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 181us total 248.332ms
07-15 01:06:03.960 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206113(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 299us total 241.294ms
07-15 01:06:06.327 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204511(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 204us total 241.580ms
07-15 01:06:08.724 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206611(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 207us total 259.497ms
07-15 01:06:11.108 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207091(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 526us total 251.261ms
07-15 01:06:13.497 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207501(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 230us total 250.490ms
07-15 01:06:15.871 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207136(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 294us total 240.114ms
07-15 01:06:18.243 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204972(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 184us total 245.513ms
07-15 01:06:20.611 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205591(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 391us total 248.247ms
07-15 01:06:22.974 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204843(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 218us total 248.611ms
07-15 01:06:25.308 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204397(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 208us total 248.932ms
07-15 01:06:27.670 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204460(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 266us total 249.969ms
07-15 01:06:30.027 17906 17920 I vision.svplaye: Background concurrent copying GC freed 208400(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 240us total 238.697ms
07-15 01:06:32.416 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204644(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 211us total 253.252ms
07-15 01:06:34.795 17906 17920 I vision.svplaye: Background concurrent copying GC freed 208285(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 153us total 231.957ms
07-15 01:06:37.173 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205645(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 204us total 234.901ms
07-15 01:06:39.583 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206503(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 200us total 264.358ms
07-15 01:06:41.963 17906 17920 I vision.svplaye: Background concurrent copying GC freed 208748(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 159us total 242.248ms
07-15 01:06:44.350 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207616(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 197us total 242.673ms
07-15 01:06:46.658 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202665(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 318us total 246.390ms
07-15 01:06:49.042 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207611(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 230us total 237.385ms
07-15 01:06:51.435 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205764(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 216us total 250.923ms
07-15 01:06:53.786 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207248(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 166us total 226.752ms
07-15 01:06:56.148 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203433(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 175us total 238.271ms
07-15 01:06:58.512 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204507(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 240us total 243.082ms
07-15 01:07:00.901 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206762(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 211us total 254.126ms
07-15 01:07:03.261 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206074(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 245us total 238.733ms
07-15 01:07:05.621 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204851(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 203us total 236.989ms
07-15 01:07:07.985 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204062(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 201us total 252.490ms
07-15 01:07:10.386 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207425(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 232us total 243.316ms
