--------- beginning of main
07-15 00:50:40.416 17906 17932 I chatty  : uid=10247(com.smartvision.svplayer) Profile Saver expire 2 lines
07-15 00:50:42.241 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:50:58.097 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:51:14.024 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:51:29.821 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:51:45.651 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 11 lines
07-15 00:52:02.782 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:52:18.326 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 11 lines
07-15 00:52:35.485 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:52:51.106 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:53:06.815 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 1 line
07-15 00:54:15.564 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201530(6MB) AllocSpace objects, 1(20KB) LOS objects, 23% free, 19MB/25MB, paused 349us total 210.709ms
07-15 00:54:17.135 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199010(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 267us total 220.174ms
07-15 00:54:18.710 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202112(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 256us total 222.181ms
07-15 00:54:20.274 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200737(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 259us total 217.635ms
07-15 00:54:21.831 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202671(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 212us total 205.084ms
07-15 00:54:23.387 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199680(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 179us total 218.382ms
07-15 00:54:24.947 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199728(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 227us total 217.255ms
07-15 00:54:26.503 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200807(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 183us total 208.948ms
07-15 00:54:28.076 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201788(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 148us total 214.593ms
07-15 00:54:29.621 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201213(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 174us total 211.291ms
07-15 00:54:31.182 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199118(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 174us total 212.741ms
07-15 00:54:32.751 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200398(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 167us total 215.720ms
