--------- beginning of main
07-15 01:07:46.116 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202560(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 204us total 242.009ms
07-15 01:07:48.493 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204370(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 199us total 249.031ms
07-15 01:07:50.881 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207943(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 200us total 249.858ms
07-15 01:07:53.277 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207664(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 203us total 249.834ms
07-15 01:07:55.659 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207540(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 217us total 243.572ms
07-15 01:07:58.038 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205842(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 215us total 250.919ms
07-15 01:08:00.403 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206367(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 173us total 242.637ms
07-15 01:08:02.769 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205308(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 168us total 230.761ms
07-15 01:08:05.150 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204661(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 308us total 245.433ms
07-15 01:08:07.536 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207817(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 418us total 241.796ms
07-15 01:08:09.922 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206614(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 215us total 247.783ms
07-15 01:08:12.284 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205827(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 160us total 235.470ms
07-15 01:08:14.669 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204912(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 196us total 249.133ms
07-15 01:08:17.056 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207062(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 194us total 252.526ms
07-15 01:08:19.423 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207387(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 154us total 230.530ms
07-15 01:08:21.794 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204332(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 204us total 251.225ms
07-15 01:08:24.173 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207154(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 190us total 240.177ms
07-15 01:08:26.565 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206036(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 323us total 250.512ms
07-15 01:08:28.944 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206924(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 236us total 249.576ms
07-15 01:08:31.303 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206579(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 170us total 233.855ms
07-15 01:08:33.632 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202568(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 183us total 242.590ms
07-15 01:08:36.019 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206300(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 200us total 249.256ms
07-15 01:08:38.390 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206572(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 288us total 238.644ms
07-15 01:08:40.771 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206099(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 190us total 245.933ms
07-15 01:08:43.146 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206501(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 262us total 242.109ms
07-15 01:08:45.501 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204605(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 236us total 240.342ms
07-15 01:08:47.816 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203662(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 164us total 230.805ms
07-15 01:08:50.200 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204083(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 300us total 250.937ms
07-15 01:08:52.593 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207457(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 222us total 253.094ms
07-15 01:08:54.963 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205237(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 212us total 251.046ms
07-15 01:08:57.357 17906 17920 I vision.svplaye: Background concurrent copying GC freed 208026(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 197us total 244.343ms
07-15 01:08:59.743 17906 17920 I vision.svplaye: Background concurrent copying GC freed 208006(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 226us total 242.566ms
07-15 01:09:02.120 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206314(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 242us total 243.837ms
07-15 01:09:04.495 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205075(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 193us total 245.733ms
07-15 01:09:06.872 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207396(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 234us total 241.537ms
07-15 01:09:09.239 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206088(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 155us total 232.170ms
07-15 01:09:11.617 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205457(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 265us total 237.052ms
07-15 01:09:14.008 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205272(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 230us total 247.710ms
07-15 01:09:16.395 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207808(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 220us total 251.929ms
07-15 01:09:18.780 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206862(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 181us total 246.273ms
07-15 01:09:21.163 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206030(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 207us total 247.850ms
07-15 01:09:23.531 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205872(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 192us total 249.258ms
07-15 01:09:25.914 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207045(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 204us total 243.443ms
07-15 01:09:28.304 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206107(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 199us total 258.580ms
07-15 01:09:30.654 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206800(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 164us total 225.808ms
07-15 01:09:33.025 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204443(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 479us total 240.594ms
07-15 01:09:35.406 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206670(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 269us total 238.854ms
07-15 01:09:37.812 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206358(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 275us total 235.349ms
07-15 01:09:40.185 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204913(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 209us total 240.966ms
07-15 01:09:42.542 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204365(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 240us total 243.204ms
07-15 01:09:44.926 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206741(6MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 21MB/27MB, paused 283us total 237.912ms
07-15 01:09:47.251 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203698(6MB) AllocSpace objects, 0(0B) LOS objects, 21% free, 21MB/27MB, paused 243us total 245.445ms
