--------- beginning of main
07-15 00:54:59.305 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:55:14.873 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 11 lines
07-15 00:55:32.014 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:55:47.576 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:56:03.215 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 2 lines
07-15 00:59:03.393 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205595(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 194us total 231.234ms
07-15 00:59:05.759 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204592(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 188us total 232.404ms
07-15 00:59:08.108 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204014(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 216us total 227.822ms
07-15 00:59:10.478 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205383(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 1.127ms total 238.272ms
07-15 00:59:12.834 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204761(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 240us total 227.032ms
07-15 00:59:15.148 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203261(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 175us total 211.388ms
07-15 00:59:17.498 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204156(6MB) AllocSpace objects, 1(20KB) LOS objects, 23% free, 19MB/25MB, paused 156us total 212.735ms
07-15 00:59:19.876 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204223(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 221us total 247.454ms
07-15 00:59:22.247 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205042(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 224us total 250.248ms
07-15 00:59:24.595 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206013(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 212us total 222.455ms
07-15 00:59:26.960 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203860(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 251us total 235.222ms
07-15 00:59:29.302 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204572(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 243us total 220.532ms
07-15 00:59:31.655 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203159(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 197us total 229.104ms
07-15 00:59:33.999 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204848(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 646us total 219.103ms
07-15 00:59:36.380 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205424(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 168us total 249.921ms
07-15 00:59:38.717 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205352(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 192us total 218.966ms
07-15 00:59:41.034 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201886(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 182us total 211.163ms
07-15 00:59:43.380 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201177(5MB) AllocSpace objects, 1(20KB) LOS objects, 23% free, 19MB/25MB, paused 241us total 227.174ms
07-15 00:59:45.706 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204371(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 234us total 223.775ms
07-15 00:59:48.067 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204421(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 246us total 226.667ms
07-15 00:59:50.418 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203543(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 222us total 222.178ms
07-15 00:59:52.777 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203201(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 246us total 230.717ms
07-15 00:59:55.111 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203933(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 179us total 213.993ms
07-15 00:59:57.462 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202805(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 223us total 224.004ms
